Zone,unoccupied,owned_res,rentl_res,ho_res,losr,hosr,comm
OS,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1
C-R,1,1,1,1,1,1,1
C-SR,1,1,1,1,1,1,1
R,1,1,1,1,1,1,1
R-SR,1,1,1,1,1,1,1
